title	pubDate	guid	link	description
Ukraine conflict: Your guide to understanding day 11	Sun, 06 Mar 2022 21:30:47 GMT	https://www.bbc.co.uk/news/world-europe-60640063	https://www.bbc.co.uk/news/world-europe-60640063?at_medium=RSS&at_campaign=KARANGA	More than 1.5 million Ukrainians have fled the country. Here's what you need to know after day 11 of the war.
Russian gymnast investigated for wearing pro-war symbol on podium next to Ukrainian	Sun, 06 Mar 2022 20:10:43 GMT	https://www.bbc.co.uk/sport/gymnastics/60641891	https://www.bbc.co.uk/sport/gymnastics/60641891?at_medium=RSS&at_campaign=KARANGA	Russian gymnast Ivan Kuliak is being investigated after wearing a national war symbol on his leotard as he stood next to a Ukrainian rival on the podium in Qatar on Saturday.
Ukraine: With placards and tears, Poles are greeting refugees like family	Sun, 06 Mar 2022 23:56:07 GMT	https://www.bbc.co.uk/news/world-europe-60641217	https://www.bbc.co.uk/news/world-europe-60641217?at_medium=RSS&at_campaign=KARANGA	A Polish couple, messaged from Taiwan, have come to meet a Ukrainian refugee - welcome to Przemysl.
Twitter is part of our war effort - Ukraine minister	Mon, 07 Mar 2022 00:02:15 GMT	https://www.bbc.co.uk/news/technology-60608222	https://www.bbc.co.uk/news/technology-60608222?at_medium=RSS&at_campaign=KARANGA	Ukraine's youngest cabinet minister, 31-year-old Mykhailo Fedorov, is leading a cyber-battle against Russia.
Ukraine invasion: Volunteers 'working on autopilot'	Mon, 07 Mar 2022 00:01:07 GMT	https://www.bbc.co.uk/news/world-europe-60641870	https://www.bbc.co.uk/news/world-europe-60641870?at_medium=RSS&at_campaign=KARANGA	Within hours of Russiaâ€™s invasion, all over Ukraine, volunteers offered their services.
Ukraine crisis: The West fights back against Putin the disruptor	Sun, 06 Mar 2022 07:25:00 GMT	https://www.bbc.co.uk/news/world-us-canada-60597186	https://www.bbc.co.uk/news/world-us-canada-60597186?at_medium=RSS&at_campaign=KARANGA	Several US presidents have failed to get the measure of him but now Europe has joined the fray things may change.
Mariupol: Fires, no water, and bodies in the street	Sun, 06 Mar 2022 09:26:59 GMT	https://www.bbc.co.uk/news/world-europe-60637338	https://www.bbc.co.uk/news/world-europe-60637338?at_medium=RSS&at_campaign=KARANGA	Maxim, a 27-year-old city resident, tells the BBC what happened after the first ceasefire collapsed.
The young Ukrainians battling pro-Russian trolls	Sun, 06 Mar 2022 00:19:21 GMT	https://www.bbc.co.uk/news/blogs-trending-60596133	https://www.bbc.co.uk/news/blogs-trending-60596133?at_medium=RSS&at_campaign=KARANGA	Conspiracy theories and trolls are adding to the chaos of war.
Ukraine maps: New agreed ceasefire breaks down in south	Sun, 06 Mar 2022 14:10:23 GMT	https://www.bbc.co.uk/news/world-europe-60506682	https://www.bbc.co.uk/news/world-europe-60506682?at_medium=RSS&at_campaign=KARANGA	A ceasefire agreement in the southern city of Mariupol, breaks down a second time, with both sides blaming each other.
Five ways the Ukraine war could push up prices	Fri, 04 Mar 2022 22:09:49 GMT	https://www.bbc.co.uk/news/business-60509453	https://www.bbc.co.uk/news/business-60509453?at_medium=RSS&at_campaign=KARANGA	Prices for everyday items could go up at a time when the cost of living is already rising.
